user_id,language,platform,gender,Font_Size,Font_Color,Alignment,Color_Scheme,,outputFontSize,outputColor,outputAlignment,outputScheme
803144dd-8bb5-435e-94af-99bace5baf35,en,Mobile,male,14,#666666,right,dark,,,,,
780a59cc-70e6-4148-94c9-47bd1744cd5c,en,Mobile,male,14,#666666,left,colorful,,,,,
3cd027c4-c9cf-475c-a678-769abe7e816a,en,Mobile,male,18,#333333,left,light,,,,,
902d976c-f400-44ab-a0ac-198d94ba035a,en,Mobile,male,18,#000000,justify,light,,,,,
3d551ae7-9275-41b2-8270-260d730a6222,en,Desktop,male,14,#FFFFFF,center,monochrome,,,,,
42798e5c-9aa2-4efd-a370-5635018d4d81,en,Mobile,male,14,#666666,justify,colorful,,,,,
c65d2c31-227d-4750-af1a-1bfd6902d881,en,Mobile,female,14,#000000,left,colorful,,,,,
4b737514-74b7-433a-9dde-ea224a6deeb9,en,Mobile,male,12,#000000,right,monochrome,,,,,
40d5e94f-2468-4f73-a0a0-e5a2c0443f06,en,,other,18,#999999,left,dark,,,,,
95897683-0e62-4f31-8575-77136b4ebebe,en,Mobile,male,16,#999999,right,monochrome,,,,,
6cd79452-c315-4dbe-93af-8c2077a67a56,en,Mobile,female,20,#666666,center,colorful,,,,,
334df000-99c4-4ccd-b5b5-4b8cabdad476,en,Desktop,male,12,#999999,center,light,,,,,
1537bb2d-2d89-4d66-b6c7-f3659b85403f,en,Mobile,male,20,#333333,left,monochrome,,,,,
b2a12ed0-6436-4cbc-b70d-d0a7ba0e0981,en,Desktop,male,14,#666666,center,dark,,,,,
e03a0573-ee71-4c91-a8ca-0b1eb82c1300,en,Desktop,male,14,#333333,center,colorful,,,,,
ba818a91-0bf1-47d4-bc93-e5befe1c26e6,en,Mobile,male,14,#333333,center,monochrome,,,,,
d4a66c13-cd50-4171-8849-d52f0898a156,en,Mobile,female,18,#999999,left,colorful,,,,,
ca6bae45-d4f7-4d52-bd43-e4d3542a6f93,en,Mobile,male,12,#999999,center,colorful,,,,,
e5eccf62-17fb-4353-b886-e547a9699dd4,en,,male,20,#999999,right,colorful,,,,,
f98ab946-62e2-4cb1-97a4-3301ccccba1b,en,Mobile,female,16,#000000,justify,light,,,,,
cb553655-ef6a-4f28-8271-131cdc9fc2ec,en,Mobile,male,16,#FFFFFF,center,light,,,,,
ea3518ef-6655-4a33-bf76-337e21de5689,en,Mobile,female,20,#999999,justify,light,,,,,
f9cc1fc5-b439-4f4b-8257-0e5b2f47eb02,es,Desktop,male,18,#999999,justify,colorful,,,,,
ca55018f-21c4-41c2-b38f-b966fc3a8075,en,Mobile,male,12,#999999,right,dark,,,,,
a663330e-6e40-4813-b6f7-232aba1299eb,en,Mobile,male,18,#FFFFFF,right,light,,,,,
be2f133c-eed1-4582-b8b8-d02aa1e594ad,en,Mobile,male,18,#666666,justify,dark,,,,,
c9301569-631c-4d4d-aa30-2a65a5873029,en,Mobile,male,14,#FFFFFF,center,colorful,,,,,
bac1cde8-4780-4edb-8062-46b1286d3f47,en,Mobile,male,18,#FFFFFF,justify,light,,,,,
ba4eba66-ab7c-4704-84e8-4218f019f196,en,,male,14,#666666,center,light,,,,,
d0d86600-3649-4760-bb23-89f353e7d20b,en,Mobile,female,12,#333333,center,monochrome,,,,,
4f914c97-7283-4ed0-94f7-43bcc99e9e28,en,Mobile,male,18,#666666,justify,light,,,,,
9d832240-0310-4657-90c0-20525d24d766,en,Mobile,male,18,#333333,left,light,,,,,
f6ae26b4-f319-4305-a6ca-9cdd8528695d,es,Desktop,male,18,#999999,left,light,,,,,
f038ad7e-db1f-430f-8974-12c83a20eb8e,en,Mobile,male,12,#999999,right,light,,,,,
f3b05d57-f280-41fc-a32d-d94647bade9a,en,Mobile,female,20,#666666,center,dark,,,,,
13e305ec-6c39-4b60-9cf1-5ddeae54b677,en,Mobile,male,14,#FFFFFF,right,colorful,,,,,
e0ffda50-97e7-4872-a467-cc143cbac8fc,en,Mobile,female,16,#999999,justify,colorful,,,,,
cb71d11a-4e8d-4ab8-80be-ac1f46f5b2d1,en,,male,14,#999999,right,monochrome,,,,,
cd3dad39-da3f-4ada-9e09-a9832ca7bdd7,en,Mobile,male,18,#999999,center,colorful,,,,,
f3b94dcb-2dde-48d7-968d-606fcddd692d,en,Desktop,male,14,#666666,center,monochrome,,,,,
ddbc5616-edb8-4052-9186-6e105e4491f6,en,Mobile,male,14,#999999,right,dark,,,,,
a7788435-7465-4f4d-9f4f-d412db68b295,en,Mobile,female,14,#999999,right,colorful,,,,,
